given	expansion
edw.d	edward
edw.	edward
geo.	george
wm.	william
will.m	william
willm.	william

benj.	benjamin
benj.n	benjamin
benj	benjamin

eliz.	elizabeth
eliz	elizabeth

mich.	michael
mich.l	michael
michl.	michael

marg.t	margaret
margt.	margaret

bartho.w	bartholomew
barth.w	bartholomew

robt.	robert
fred.k	frederick
susan.h	susannah

thos.	thomas
tho.s	thomas

richd.	richard
rich.d	richard

jno.	john

cath.	catherine
cath.ne	catherine
cath	catherine

nicho.s	nicholas
chas.	charles
char.tte	charlotte
harr.t	harriet
sam.l	samuel

corn.s	cornelius
corns.	cornelius

alex.n	alexander
